numer,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
603,Sprzedam Mieszkanie,265 000 złdo negocjacji,Brak danych,Brak danych,42 m² - 6309.52 zł/m²,Brak danych,Brak danych
604,3 pokoje⭐Centrum⭐Panorama⭐Do remontu⭐Balkon,330 000 zł,Łódź,Brak danych,"41,64 m² - 7925.07 zł/m²",3 pokoje,Brak danych
605,Kamienica na Łazarzu – mieszkanie 26 m² w super lokalizacji,290 000 zł,Poznań,Brak danych,"26,13 m² - 11098.35 zł/m²",Brak danych,Brak danych
606,Park Wyszyńskiego / Mieszkanie Do Odbioru,1 856 624 zł,Gorzów Wielkopolski - 15 Lipca 2025,Brak danych,"165,77 m² - 11200 zł/m²",Brak danych,Brak danych
607,Mieszkanie Guderskiego,815 000 zł,Gdańsk,Brak danych,75 m² - 10866.67 zł/m²,Brak danych,Brak danych
608,4 pokoje / Bemowo / do własnej aranżacji /,1 350 000 zł,Warszawa,Brak danych,"81,50 m² - 16564.42 zł/m²",4 pokoje,Brak danych
609,Mieszkanie w willi z ogródkiem !,459 000 zł,Brak danych,Brak danych,68 m² - 6750 zł/m²,Brak danych,Brak danych
610,Przestronne i jasne mieszkanie w Centrum Siechnic w otoczeniu zieleni,740 000 zł,Brak danych,Brak danych,85 m² - 8705.88 zł/m²,Brak danych,Brak danych
611,"Małe, ale z charakterem. 2 pokoje z widokiem",299 000 zł,Rzeszów - 15 Lipca 2025,Brak danych,"26,50 m² - 11283.02 zł/m²",2 pokoje,Brak danych
612,"Mieszkanie w centrum, 3 pokoje po remoncie",719 000 złdo negocjacji,Szczecin,Brak danych,"74,90 m² - 9599.47 zł/m²",3 pokoje,Brak danych
613,Słoneczne 4 pokoje poniżej 14 tys/m2 - > Idealne dla Rodziny,1 210 000 zł,Warszawa,Brak danych,87 m² - 13908.05 zł/m²,4 pokoje,Brak danych
614,"Spółdzielcza- Zielona Góra 3 pokojowe mieszkanie 47,8 m2",354 000 złdo negocjacji,Brak danych,Brak danych,"47,80 m² - 7405.86 zł/m²",3 pokoje,Brak danych
615,"*Os.Przyjaźni Ustawne 3 pokoje 61,9m2 ładny widok*",435 000 zł,Brak danych,Brak danych,"61,90 m² - 7027.46 zł/m²",3 pokoje,Brak danych
616,Przestronne mieszkanie 55 m2 w otoczeniu lasów,339 000 zł,Brak danych,Brak danych,55 m² - 6163.64 zł/m²,Brak danych,Brak danych
617,Nowoczesne 47m2 mieszkanie w samym sercu Mielca,345 000 złdo negocjacji,Brak danych,Brak danych,47 m² - 7340.43 zł/m²,Brak danych,Brak danych
618,Mieszkanie na Woli blisko metra- Ul. Łacińska,780 000 zł,Warszawa,Brak danych,65 m² - 12000 zł/m²,Brak danych,Brak danych
619,"3 niezależne pokoje, balkon, świetna lokalizacja",232 000 zł,Brak danych,Brak danych,"48,17 m² - 4816.28 zł/m²",Brak danych,Brak danych
620,Mieszkanie Szczecin Płonia,580 000 zł,Szczecin,Brak danych,64 m² - 9062.5 zł/m²,Brak danych,Brak danych
621,"Prywatnie, Centrum, 2 pokoje, Nowe, Bez PCC","547 540,40 zł",Lublin - Dzisiaj O 09:26,Brak danych,"29,60 m² - 18497.99 zł/m²",2 pokoje,Brak danych
622,3 niezależne pokoje z oddzielną kuchnią | balkon | piwnica,749 900 zł,Warszawa,Brak danych,54 m² - 13887.04 zł/m²,Brak danych,Brak danych
623,"Mieszkanie 2- pokojowe ,38,7 m2, dwustronne, bez pośredników!",298 000 zł,Brak danych,Brak danych,"38,70 m² - 7700.26 zł/m²",Brak danych,Brak danych
624,"Przytulna kawalerka 30,5 m² – gotowa do zamieszkan",399 999 zł,Lublin - Dzisiaj O 17:53,Brak danych,"30,50 m² - 13114.72 zł/m²",1 pokój,Brak danych
625,Mieszkanie Bezczynszowe Do Własnej Aranżacji 86 M2,280 000 zł,Brak danych,Brak danych,"86,60 m² - 3233.26 zł/m²",Brak danych,Brak danych
626,2 Pokoje 36M2 Z Ogródkiem Gotowe Do Wprowadzenia,499 000 zł,Brak danych,Brak danych,"35,62 m² - 14008.98 zł/m²",2 pokoje,Brak danych
627,"Sosnowiec śródmieście , 3 pokoje + Balkon. Garaż",513 500 zł,Sosnowiec - 15 Lipca 2025,Brak danych,62 m² - 8282.26 zł/m²,3 pokoje,Brak danych
628,"Mieszkanie, Głogów",419 000 zł,Brak danych,Brak danych,63 m² - 6650.79 zł/m²,Brak danych,Brak danych
629,2 pokoje w centrum miasta,238 000 zł,Gorzów Wielkopolski - 15 Lipca 2025,Brak danych,"38,33 m² - 6209.24 zł/m²",2 pokoje,Brak danych
630,Mieszkanie M1 kawalerka garsoniera 1 pokój aneks kuchenny łazienka,215 000 zł,Brak danych,Brak danych,20 m² - 10750 zł/m²,1 pokoje,Brak danych
631,"Nowoczesne 3 pokojowe, mieszkanie, garderoba,2 tarasy BEZ POŚREDNIKÓW",790 000 złdo negocjacji,Zabrze - 24 Czerwca 2025,Brak danych,"83,60 m² - 9449.76 zł/m²",3 pokoje,Brak danych
632,"mieszkanie gotowe do odbioru, strona południowa",685 000 zł,Pruszcz Gdański - 14 Lipca 2025,Brak danych,"82,61 m² - 8291.97 zł/m²",Brak danych,Brak danych
633,Mieszkanie 3 pokoje Leśny Dwór 2 komórki lokatorskie,512 100 zł,Brak danych,Brak danych,"56,90 m² - 9000 zł/m²",3 pokoje,Brak danych
634,Mieszkanie na sprzedaż ul Budowlanych Oświęcim Bez ukrytych prowizji,310 000 zł,Brak danych,Brak danych,33 m² - 9393.94 zł/m²,Brak danych,Brak danych
635,"Na sprzedaż: 2-pokojowe mieszkanie, 36 m² – Rubinkowo II, Toruń",360 000 zł,Toruń - Dzisiaj O 17:41,Brak danych,36 m² - 10000 zł/m²,Brak danych,Brak danych
636,BEZPOŚREDNIO - 3 pokojowe mieszkanie z potencjałem!,555 000 zł,Wrocław - Odświeżono Dzisiaj O 08:33,Brak danych,63 m² - 8809.52 zł/m²,3 pokoje,Brak danych
637,3 pokoje do remontu na parterze - Kusocińskiego,310 000 zł,Radom - 16 Lipca 2025,Brak danych,"52,80 m² - 5871.21 zł/m²",3 pokoje,Parter
638,Rezydencja Świerkowa | mieszkanie 1-pok. | 59,233 233 zł,Radom - 16 Lipca 2025,Brak danych,"25,63 m² - 9100 zł/m²",Brak danych,Brak danych
639,"Mieszkanie, Lubin",469 000 zł,Brak danych,Brak danych,"68,30 m² - 6866.76 zł/m²",Brak danych,Brak danych
640,Sprzedam mieszkanie 65m2,925 000 złdo negocjacji,Poznań,Brak danych,65 m² - 14230.77 zł/m²,Brak danych,Brak danych
641,1 PIĘTRO 2 pokoje po remoncie. Balkon.,439 999 zł,Łódź,Brak danych,45 m² - 9777.76 zł/m²,2 pokoje,1 piętro
642,"Mieszkanie 48 m² – Warszawa Żoliborz, ul. Broniews",690 000 zł,Warszawa,Brak danych,48 m² - 14375 zł/m²,Brak danych,Brak danych
643,3 pokoje - I piętro - do własnej aranżacji,219 000 zł,Wałbrzych - Dzisiaj O 09:02,Brak danych,"57,97 m² - 3777.82 zł/m²",3 pokoje,Brak danych
644,"Mieszkanie, 2 pokoje, 46,20m2 | Piekary Śląskie",190 000 zł,Brak danych,Brak danych,"46,20 m² - 4112.55 zł/m²",2 pokoje,Brak danych
645,"Kawalerka 29,5m2 Starachowice",178 000 zł,Brak danych,Brak danych,"29,50 m² - 6033.9 zł/m²",1 pokój,Brak danych
646,"49,33mkw 2 pokoje Co-miejskie Bałuty Centrum, Doły",144 500 zł,Łódź,Brak danych,25 m² - 5780 zł/m²,2 pokoje,Brak danych
647,Nowe Miasto 2 pokoje Blok 2013r Żermoskiego,439 000 złdo negocjacji,Białystok,Brak danych,"33,29 m² - 13187.14 zł/m²",2 pokoje,Brak danych
648,Piotra Skargi 3 pokoje / 77m2 / wysoki parter,419 900 zł,Bydgoszcz - 11 Lipca 2025,Brak danych,77 m² - 5453.25 zł/m²,3 pokoje,Parter
649,Mieszkanie w pięknym miejscu nad rzeką,597 000 zł,Wrocław,Brak danych,"49,33 m² - 12102.17 zł/m²",Brak danych,Brak danych
650,3-pokojowe mieszkanie po kapitalnym remoncie – Centrum Grodziska.,599 000 zł,Brak danych,Brak danych,55 m² - 10890.91 zł/m²,Brak danych,Brak danych
651,"Mieszkanie 4 pokoje, 72m",650 000 zł,Łódź,Brak danych,72 m² - 9027.78 zł/m²,4 pokoje,Brak danych
652,"2 pokoje | 48,8 m² | Róży Wiatrów 19 | loggia z widokiem na zieleń",670 000 zł,Wrocław,Brak danych,"48,80 m² - 13729.51 zł/m²",2 pokoje,Brak danych
653,3 pokoje na sprzedaż - Lubin,338 000 zł,Brak danych,Brak danych,"62,90 m² - 5373.61 zł/m²",3 pokoje,Brak danych
654,Komfortowe mieszkanie z osobnym wejściem z własnego podwórka i garażem,650 000 zł,Brak danych,Brak danych,114 m² - 5701.75 zł/m²,Brak danych,Brak danych
655,Mieszkanie po remoncie z wyposażeniem.,270 000 zł,Brak danych,Brak danych,40 m² - 6750 zł/m²,Brak danych,Brak danych
656,Mieszkanie dwupokojowe Krasne - gotowe do zamieszkania,380 000 zł,Brak danych,Brak danych,"39,41 m² - 9642.22 zł/m²",Brak danych,Brak danych
657,"Urocze 3 pokoje w centrum. Zadbane, w pełni wyposażone.",429 000 zł,Brak danych,Brak danych,58 m² - 7396.55 zł/m²,3 pokoje,Brak danych
658,=> MIŁA PARK - 3 pokoje 47 m2 => DRABINIANKA !!! Rzeszów,450 395 zł,Rzeszów - Odświeżono Dnia 16 Lipca 2025,Brak danych,"47,41 m² - 9500 zł/m²",3 pokoje,Brak danych
659,"Na sprzedaż: 2-pokojowe mieszkanie, 36 m² – Rubinkowo II, Toruń",360 000 zł,Toruń - Dzisiaj O 17:41,Brak danych,36 m² - 10000 zł/m²,Brak danych,Brak danych
660,Mieszkanie Uzdrowisko Szczawnica - ścisłe centrum.,390 000 zł,Brak danych,Brak danych,54 m² - 7222.22 zł/m²,Brak danych,Brak danych
661,"Mieszkanie Kolarska 8 - 30 lat doświadczenia, przyjazny plan wpłat",509 980 zł,Brak danych,Brak danych,"59,30 m² - 8600 zł/m²",Brak danych,Brak danych
662,mieszkanie z ogrodem w spokojnej okolicy,622 000 zł,Brak danych,Brak danych,"62,30 m² - 9983.95 zł/m²",Brak danych,Brak danych
663,Mieszkanie Poznań os. Wichrowe Wzgórza,489 000 zł,Poznań,Brak danych,47 m² - 10404.26 zł/m²,Brak danych,Brak danych
664,2 pok. mieszkanie przy ul. Dreszera,349 000 zł,Brak danych,Brak danych,46 m² - 7586.96 zł/m²,Brak danych,Brak danych
665,"Mieszkanie na parterze, z ogródkiem w centrum",325 000 zł,Brak danych,Brak danych,57 m² - 5701.75 zł/m²,Brak danych,Parter
666,Mieszkanie | Mielec ul. Chopina | 2-pokoje| 2-piętro| PO REMONCIE,335 999 zł,Brak danych,Brak danych,37 m² - 9081.05 zł/m²,Brak danych,Brak danych
667,2 Pokojowe Mieszkanie Z Balkonem Centrum,399 000 zł,Brak danych,Brak danych,"44,77 m² - 8912.22 zł/m²",2 pokoje,Brak danych
668,Dwustronne 2-pokojowe mieszkanie w Legionowie,585 000 zł,Brak danych,Brak danych,"48,04 m² - 12177.35 zł/m²",Brak danych,Brak danych
669,"Mieszkanie 3 pokoje KSM 64,2 m² – idealne dla rodziny, szkoła, sklepy",549 700 zł,Kielce - Odświeżono Dnia 16 Lipca 2025,Brak danych,"64,20 m² - 8562.31 zł/m²",3 pokoje,Brak danych
670,"Mieszkanie dwupoziomowe 83.77m2, 3 balkony, klimatyzacja, piwnica",525 000 złdo negocjacji,Brak danych,Brak danych,"83,77 m² - 6267.16 zł/m²",Brak danych,Brak danych
671,Sprzedam w pełni wyposażone i umeblowane mieszkanie – SYCÓW CENTRUM,310 000 zł,Brak danych,Brak danych,"44,60 m² - 6950.67 zł/m²",Brak danych,Brak danych
672,"2 pokoje, Dworek, Gmina Mikołajki Pomorskie.",69 000 zł,Brak danych,Brak danych,"53,59 m² - 1287.55 zł/m²",2 pokoje,Brak danych
673,Przestronne 3-pokojowe mieszkanie z ogrodem i kominkiem | Parter,420 000 zł,Brak danych,Brak danych,91 m² - 4615.38 zł/m²,Brak danych,Parter
674,Sprzedam mieszkanie 70m2 OLECKO Osiedle Lesk,315 000 złdo negocjacji,Brak danych,Brak danych,70 m² - 4500 zł/m²,Brak danych,Brak danych
675,"2 Pokoje, I piętro, Balkon, Os. Paderewskiego",419 000 zł,Katowice - 16 Lipca 2025,Brak danych,"43,35 m² - 9665.51 zł/m²",2 pokoje,Brak danych
676,Mieszkanie niedaleko Starego Browaru!,470 000 złdo negocjacji,Poznań,Brak danych,65 m² - 7230.77 zł/m²,Brak danych,Brak danych
677,MIeszkanie w centrum Łodzi na osiedlu Recanto 63m2,787 500 zł,Łódź,Brak danych,63 m² - 12500 zł/m²,Brak danych,Brak danych
678,"Okazja! Mieszkanie z dużym balkonem, piwnicą.",515 000 zł,Gorzów Wielkopolski - 15 Lipca 2025,Brak danych,"65,82 m² - 7824.37 zł/m²",Brak danych,Brak danych
679,Mieszkanie 2 pokojowe-40m²-miejsce postojowe-Parkitka-Bezpośrednio,340 000 zł,Częstochowa,Brak danych,"39,87 m² - 8527.72 zł/m²",2 pokoje,Brak danych
680,Okazja. Przestronne 3 pokoje + kuchnio-jadalnia + ... !,760 000 zł,Toruń - 14 Czerwca 2025,Brak danych,72 m² - 10555.56 zł/m²,3 pokoje,Brak danych
681,Nowoczesne Mieszkanie z Ogródkiem i Zadaszonym Miejscem Postojowym,540 000 zł,Brak danych,Brak danych,"94,95 m² - 5687.2 zł/m²",Brak danych,Brak danych
682,DWA Przestronne Mieszkanie 2 Pok. | Całe Piętro | 4 sypialnie,379 000 zł,Brak danych,Brak danych,"107,50 m² - 3525.58 zł/m²",Brak danych,Brak danych
683,"Sprzedam mieszkanie dwupokojowe - Letnica, ul. Sucha (ROBYG)",799 000 złdo negocjacji,Gdańsk,Brak danych,"50,88 m² - 15703.62 zł/m²",Brak danych,Brak danych
684,Sprzedam mieszkanie 3 pokojowe na I piętrze w Koszalinie,480 000 złdo negocjacji,Koszalin - Odświeżono Dzisiaj O 19:36,Brak danych,"55,30 m² - 8679.93 zł/m²",3 pokoje,Brak danych
685,"Łódź-Górna, 2 pokoje z balkonem, do remontu z opcją 3‑pokojowego, 34m2",244 000 zł,Łódź,Brak danych,"34,40 m² - 7093.02 zł/m²",2 pokoje,Brak danych
686,Funkcjonalna kawalerka | Blisko Rynku,332 460 zł,Kraków,Brak danych,"18,47 m² - 18000 zł/m²",1 pokój,Brak danych
687,REZERWACJA | Heleny | 63m | 3 pokoje | 2 balkony | piwnica | 2 piętro,615 000 zł,Kraków,Brak danych,63 m² - 9761.9 zł/m²,3 pokoje,2 piętro
688,Mieszkanie z własnym ogródkiem i parkingiem !,129 000 zł,Brak danych,Brak danych,41 m² - 3146.34 zł/m²,Brak danych,Brak danych
689,"2 ( lub 3 )pokoje z widokiem, super lokalizacja- opróżnione do remontu",330 000 zł,Tychy - Odświeżono Dzisiaj O 16:05,Brak danych,50 m² - 6600 zł/m²,Brak danych,Brak danych
690,4 Pokoje 1 Piętro Duży Balkon,369 000 zł,Rybnik - 14 Lipca 2025,Brak danych,"70,50 m² - 5234.04 zł/m²",4 pokoje,1 piętro
691,"Rodzinne 4-pokojowe mieszkanie | 56,6 m² | ul. Olsztyńska 29",460 000 zł,Radom - 15 Lipca 2025,Brak danych,"56,60 m² - 8127.21 zł/m²",Brak danych,Brak danych
692,"3-pokojowe mieszkanie przy ul. Legionów 15–17, Kalisz | Winda | 48 m²",300 000 zł,Brak danych,Brak danych,48 m² - 6250 zł/m²,Brak danych,Brak danych
693,Mieszkanie 76m2 z ogrodem 156m2,999 000 zł,Warszawa,Brak danych,"76,44 m² - 13069.07 zł/m²",Brak danych,Brak danych
694,"2 pokoje po remoncie, os. Radogoszcz Wschód - sprzedaż lub zamiana",440 000 zł,Łódź,Brak danych,"42,23 m² - 10419.13 zł/m²",2 pokoje,Brak danych
695,Mieszkanie 4 pokojowe blisko Świdnicy.,485 000 zł,Brak danych,Brak danych,86 m² - 5639.53 zł/m²,4 pokoje,Brak danych
696,"Mieszkanie 2-pokojowe - Gdynia, ul. Zamenhofa",359 000 zł,Gdynia,Brak danych,"27,03 m² - 13281.54 zł/m²",Brak danych,Brak danych
697,Piękne mieszkanie gotowe do zamieszkania z garażem !,600 000 zł,Brak danych,Brak danych,60 m² - 10000 zł/m²,Brak danych,Brak danych
698,Duża przestronna kawalerka M2 35m plus balkon,129 999 zł,Brak danych,Brak danych,35 m² - 3714.26 zł/m²,1 pokój,Brak danych
699,Mieszkanie po remoncie - parter,499 000 zł,Brak danych,Brak danych,61 m² - 8180.33 zł/m²,Brak danych,Parter
700,☀️ 3 pokoje / Klimatyzacja / Balkon 16 m² / Miejsce postojowe ☀️,640 000 zł,Brak danych,Brak danych,49 m² - 13061.22 zł/m²,3 pokoje,Brak danych
701,2 pokoje!Smochowice!Osobna kuchnia!Duży balkon!Miejsce postojowe!,459 000 zł,Poznań,Brak danych,46 m² - 9978.26 zł/m²,2 pokoje,Brak danych
702,"Przestronne mieszkanie 3-pokojowe, 71 m² – centrum Gliwic",563 999 zł,Gliwice,Brak danych,"70,50 m² - 7999.99 zł/m²",Brak danych,Brak danych
703,Rewelacyjne mieszkanie z ogródkiem - Zwonowice,539 000 zł,Brak danych,Brak danych,"74,81 m² - 7204.92 zł/m²",Brak danych,Brak danych
704,"Mieszkanie z parkingiem, idealne pod inwestycję!",349 000 zł,Katowice,Brak danych,"47,25 m² - 7386.24 zł/m²",Brak danych,Brak danych
705,Mieszkanie - osiedle Piastowskie - Kazimierza Krolewicza,676 000 złdo negocjacji,Szczecin,Brak danych,52 m² - 13000 zł/m²,Brak danych,Brak danych
706,"Mieszkanie 2-pokojowe, 60m2 z tarasem",870 000 zł,Warszawa,Brak danych,60 m² - 14500 zł/m²,Brak danych,Brak danych
707,Dwupoziomowe mieszkanie,430 000 złdo negocjacji,Brak danych,Brak danych,"65,30 m² - 6584.99 zł/m²",Brak danych,Brak danych
708,"Ciche, odnowione mieszkanie na Bielanach",780 000 złdo negocjacji,Warszawa,Brak danych,60 m² - 13000 zł/m²,Brak danych,Brak danych
709,⭐Gotowe⭐2 pokoje⭐1piętro⭐Balkon⭐Park,362 000 zł,Łódź,Brak danych,"36,20 m² - 10000 zł/m²",2 pokoje,1 piętro
710,2-pokojowe mieszkanie na Koniuchach,359 000 zł,Toruń - Dzisiaj O 10:46,Brak danych,"43,75 m² - 8205.71 zł/m²",Brak danych,Brak danych
711,Po remoncie | 2 pokoje | ul. Rodziny Winczewskich,350 000 zł,Radom - Dzisiaj O 09:28,Brak danych,"38,60 m² - 9067.36 zł/m²",2 pokoje,Brak danych
712,"Mieszkanie 3pokojowe,Osiedle Generałów,Kleeberga",475 000 zł,Olsztyn - 14 Lipca 2025,Brak danych,"53,20 m² - 8928.57 zł/m²",3 pokoje,Brak danych
713,Dwupokojowe mieszkanie na Chłodnej.,646 000 zł,Warszawa,Brak danych,"38,70 m² - 16692.51 zł/m²",Brak danych,Brak danych
714,"Sprzedam mieszkanie , 18 Sierpnia Katowice , 37,37 m2",315 000 złdo negocjacji,Katowice,Brak danych,"37,37 m² - 8429.22 zł/m²",Brak danych,Brak danych
715,"Po remoncie, 2 pokoje + kuchnia, ul. Pawia",379 000 zł,Brak danych,Brak danych,"50,40 m² - 7519.84 zł/m²",2 pokoje,Brak danych
716,2 pokoje z loggią i piwnicą - bezpośrednio!,295 000 zł,Katowice - 15 Lipca 2025,Brak danych,37 m² - 7972.97 zł/m²,2 pokoje,Brak danych
717,sprzedam mieszkanie w Ptasiej dzielnicy Gliwic,800 000 zł,Gliwice - 16 Lipca 2025,Brak danych,112 m² - 7142.86 zł/m²,Brak danych,Brak danych
718,"Mieszkanie 42,45 m² – Centrum Lublina, ul. Podzamcze 4 – 442 000 zł",442 000 zł,Lublin - 28 Czerwca 2025,Brak danych,"42,45 m² - 10412.25 zł/m²",Brak danych,Brak danych
719,"2 pokojowe mieszkanie z balkonem, Bydgoszcz, Fordon, ul. Igrzyskowa",499 000 złdo negocjacji,Bydgoszcz - Odświeżono Dnia 15 Lipca 2025,Brak danych,40 m² - 12475 zł/m²,2 pokoje,Brak danych
720,"Gotowiec inwestycyjny, 4 pokoje, ul. Pana Tadeusza",489 000 zł,Olsztyn - Odświeżono Dzisiaj O 18:16,Brak danych,"48,20 m² - 10145.23 zł/m²",4 pokoje,Brak danych
721,Katowice Centrum 3 pokojowe MIESZKANIE wykończone,580 000 zł,Katowice - Dzisiaj O 07:45,Brak danych,60 m² - 9666.67 zł/m²,3 pokoje,Brak danych
722,"SUPER CENA Różanka 4-pokoje, 78,5 m²",815 000 złdo negocjacji,Wrocław,Brak danych,"78,50 m² - 10382.17 zł/m²",Brak danych,Brak danych
723,"Mieszkanie, Siedlce, ul. Pomorska, do wprowadzenia",549 000 zł,Brak danych,Brak danych,"59,60 m² - 9211.41 zł/m²",Brak danych,Brak danych
724,Nowoczesne mieszkanie na terenie zamkniętym !,277 000 zł,Włocławek - 15 Lipca 2025,Brak danych,"34,52 m² - 8024.33 zł/m²",Brak danych,Brak danych
725,Mieszkanie z balkonem z zasobów Wtbs,159 000 zł,Brak danych,Brak danych,"43,43 m² - 3661.06 zł/m²",Brak danych,Brak danych
726,Okazja!!! Sprzedam mieszkanie do remontu!,300 000 zł,Brak danych,Brak danych,"45,50 m² - 6593.41 zł/m²",Brak danych,Brak danych
727,Krowodrza/Bronowice/Prądnik Biały ok. Radzikowskiego - 2 pokoje loggia,687 000 zł,Kraków,Brak danych,50 m² - 13740 zł/m²,2 pokoje,Brak danych
728,"Mieszkanie Stary Browar Bielsko - Biała, 57 mkw",497 031 zł,Bielsko-Biała - 15 Lipca 2025,Brak danych,"57,13 m² - 8700 zł/m²",Brak danych,Brak danych
729,Augustów 2 pokojowe mieszkanie na sprzedaż,298 000 złdo negocjacji,Brak danych,Brak danych,"37,90 m² - 7862.8 zł/m²",2 pokoje,Brak danych
730,Wykończone mieszkanie na Zdrowiu,660 000 zł,Łódź,Brak danych,"52,28 m² - 12624.33 zł/m²",Brak danych,Brak danych
731,Nowe mieszkanie osiedle europejskie,400 000 zł,Gorzów Wielkopolski - 22 Czerwca 2025,Brak danych,"29,54 m² - 13540.96 zł/m²",Brak danych,Brak danych
732,Oddane do Użytkowania - 2 pokoje z Tarasem 13 m²﻿! Winda!,382 000 zł,Sosnowiec - 15 Lipca 2025,Brak danych,49 m² - 7795.92 zł/m²,2 pokoje,Brak danych
733,SPRZEDAM BEZPOŚREDNIO - 2 pokoje - 36m2 + balkon - ul. Kwarcowa,499 000 zł,Lublin - Dzisiaj O 20:39,Brak danych,"35,55 m² - 14036.57 zł/m²",2 pokoje,Brak danych
734,Komfortowe Mieszkanie,479 000 zł,Brak danych,Brak danych,"70,60 m² - 6784.7 zł/m²",Brak danych,Brak danych
735,Piękne mieszkanie dwupoziomowe na zakmniętym os.,699 000 zł,Szczecin,Brak danych,"78,20 m² - 8938.62 zł/m²",Brak danych,Brak danych
736,Sędziszów Młp. | 3 pokoje | Funkcjonalny układ |,379 000 zł,Brak danych,Brak danych,"58,87 m² - 6437.91 zł/m²",3 pokoje,Brak danych
737,Mieszkanie 3 pokoje 60m2 Marki,865 000 złdo negocjacji,Brak danych,Brak danych,"59,95 m² - 14428.69 zł/m²",3 pokoje,Brak danych
738,"Jezioro, spokój i nowoczesne wnętrze, 3 pokoje",449 000 zł,Brak danych,Brak danych,"61,40 m² - 7312.7 zł/m²",3 pokoje,Brak danych
739,Mieszkanie 100 m2 w odrestaurowanej kamienicy z balkonem i parkingiem,589 000 zł,Bytom - 15 Lipca 2025,Brak danych,100 m² - 5890 zł/m²,Brak danych,Brak danych
740,Ciepłe mieszkanie blisko centrum: Zielińskiego - Wrocław,625 000 zł,Wrocław,Brak danych,50 m² - 12500 zł/m²,Brak danych,Brak danych
741,Mieszkanie z pięknym tarasem na dachu,1 180 000 zł,Gdańsk,Brak danych,67 m² - 17611.94 zł/m²,Brak danych,Brak danych
742,Niepowtarzalny styl | 2 pokoje + gabinet | Balkon | Po remoncie,425 000 zł,Brak danych,Brak danych,"46,20 m² - 9199.13 zł/m²",2 pokoje,Brak danych
743,"Stylowe 3 pokoje | 63,5 m² po remoncie| 2 piętro",680 000 zł,Brak danych,Brak danych,"63,50 m² - 10708.66 zł/m²",3 pokoje,2 piętro
744,Przestronne mieszkanie z widokiem na ogrodki dzialkowe,330 000 złdo negocjacji,Brak danych,Brak danych,"57,80 m² - 5709.34 zł/m²",Brak danych,Brak danych
745,"Na sprzedaż mieszkanie w Brzegu w bloku, pierwsze pietro",330 000 zł,Brak danych,Brak danych,55 m² - 6000 zł/m²,Brak danych,Brak danych
746,Przytulne mieszkanie w zabytkowej kamienicy,249 000 zł,Brak danych,Brak danych,59 m² - 4220.34 zł/m²,Brak danych,Brak danych
747,2-pokojowe mieszkanie w Centrum Zabrza po remoncie,350 000 zł,Zabrze - 16 Lipca 2025,Brak danych,"52,04 m² - 6725.6 zł/m²",Brak danych,Brak danych
748,2 pokoje z balkonem Osiedle Stałe - zaproponuj swoją cene!,265 000 zł,Jaworzno - Dzisiaj O 17:16,Brak danych,"47,64 m² - 5562.55 zł/m²",2 pokoje,Brak danych
749,Kawalerka z dużym balkonem! Cechowa/ Pogórze Duchackie - Piaski,249 900 zł,Kraków,Brak danych,21 m² - 11900 zł/m²,1 pokój,Brak danych
750,Gotowe do zamieszkania | 3 pokoje | Po remoncie,599 000 zł,Poznań,Brak danych,"53,90 m² - 11113.17 zł/m²",3 pokoje,Brak danych
751,Sprzedam mieszkanie - kawalerkę,495 000 zł,Kraków,Brak danych,"32,31 m² - 15320.33 zł/m²",Brak danych,Brak danych
752,"Mieszkanie 100m2 Świdnica, prywatny parking, 3 pokoje, 2 garderoby",560 000 złdo negocjacji,Brak danych,Brak danych,105 m² - 5333.33 zł/m²,3 pokoje,Brak danych
753,Merano Park 2 | mieszkanie 3-pok. | B2.A2,447 000 zł,Wolsztyn - Dzisiaj O 13:06,Brak danych,"51,57 m² - 8667.83 zł/m²",Brak danych,Brak danych
754,3- pokoje z ogromnym potencjałem,399 000 zł,Bielsko-Biała - Dzisiaj O 12:01,Brak danych,53 m² - 7528.3 zł/m²,Brak danych,Brak danych
755,Mieszkanie 3 pokoje-parter-ogródek-garaż.,255 000 zł,Brak danych,Brak danych,"52,77 m² - 4832.29 zł/m²",3 pokoje,Parter
756,Wyposażona kawalerka z oddzielną SYPIALNIĄ / ul. Lubelska,335 000 złdo negocjacji,Łódź,Brak danych,"34,50 m² - 9710.14 zł/m²",1 pokój,Brak danych
757,"Mieszkanie, Sosnowiec",298 000 zł,Sosnowiec - 16 Lipca 2025,Brak danych,60 m² - 4966.67 zł/m²,Brak danych,Brak danych
758,"Na sprzedaż mieszkanie 57 m2, II piętro Armii Krajowej",279 900 zł,Brak danych,Brak danych,57 m² - 4910.53 zł/m²,Brak danych,Brak danych
759,"Ustka, 2 pokoje, osobna jasna kuchnia, układ niezależny, balkon, garaż",499 000 zł,Brak danych,Brak danych,"43,60 m² - 11444.95 zł/m²",2 pokoje,Brak danych
760,"Kawalerka 27m2 ul. Sportowa, 4 pietro",205 000 zł,Brak danych,Brak danych,27 m² - 7592.59 zł/m²,1 pokój,Brak danych
761,Mieszkanie w zielonej i cichej okolicy,499 000 zł,Szczecin,Brak danych,53 m² - 9415.09 zł/m²,Brak danych,Brak danych
762,"Umeblowana kawalerka 26,32m2 ul. Robotniczej!",250 000 zł,Elbląg - 30 Czerwca 2025,Brak danych,"26,32 m² - 9498.48 zł/m²",1 pokój,Brak danych
