numer,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
3412,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
3413,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
3414,"Gotowiec inwestycyjny, urocza kawalerka 26,85 m2, ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,85 m² - 13370.58 zł/m²",1 pokój,Brak danych
3415,Sprzedam mieszkanie 3-pokojowe,650 000 zł,Opole - 16 Lipca 2025,Brak danych,"61,68 m² - 10538.26 zł/m²",Brak danych,Brak danych
3416,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
3417,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
3418,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
3419,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
3420,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
3421,Blisko Centrum idealne na Inwestycję lub jako pierwsze mieszkanie,410 000 złdo negocjacji,Kraków,Brak danych,23 m² - 17826.09 zł/m²,Brak danych,Brak danych
3422,Mieszkanie 2 pokoje. Blisko centrum,265 000 zł,Brak danych,Brak danych,46 m² - 5760.87 zł/m²,2 pokoje,Brak danych
3423,"Kawalerka 38 m² za odstępne – Łódź Górna, okolice Placu Niepodległości",25 000 złdo negocjacji,Łódź,Brak danych,36 m² - 694.44 zł/m²,1 pokój,Brak danych
3424,M3 Mieszkanie 2 pokoje Sierakowskiego po remoncie Łódź,359 000 zł,Łódź,Brak danych,"38,30 m² - 9373.37 zł/m²",2 pokoje,Brak danych
3425,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
3426,"Osiedle Leśne, 2 pokoje, I piętro",490 000 zł,Bydgoszcz - 16 Lipca 2025,Brak danych,"54,51 m² - 8989.18 zł/m²",2 pokoje,490 piętro
3427,BEZPOŚREDNIO 3-pokojowe mieszkanie z balkonem na os. Braniborskim,499 999 zł,Brak danych,Brak danych,"52,20 m² - 9578.52 zł/m²",Brak danych,Brak danych
3428,Mieszkanie 3-pokojowe gotowe do zamieszkania,399 000 zł,Starogard Gdański - 15 Lipca 2025,Brak danych,"48,90 m² - 8159.51 zł/m²",Brak danych,Brak danych
3429,2 pokoje z oddzielną kuchnią,550 000 zł,Warszawa,Brak danych,38 m² - 14473.68 zł/m²,2 pokoje,Brak danych
3430,2 Pokoje | Po remoncie | Dolina Trzech Stawów,439 000 zł,Katowice - Dzisiaj O 09:45,Brak danych,43 m² - 10209.3 zł/m²,2 pokoje,Brak danych
3431,⭐Przytulne mieszkanie 2- pokojowe ⭐ możliwość zakupu GARAŻU ⭐,205 000 zł,Brak danych,Brak danych,"33,90 m² - 6047.2 zł/m²",Brak danych,Brak danych
3432,"3 Pokoje, LSM, Po Generalnym Remoncie, ul. Pozytywistów, Widok n Wąwóz",529 000 zł,Lublin - Odświeżono Dzisiaj O 11:18,Brak danych,48 m² - 11020.83 zł/m²,3 pokoje,Brak danych
3433,"Lokal,na Dowolną Działalność i Mieszkać #ZDECYDOWANIE #sprzedam",1 443 990 złdo negocjacji,Szczecin,Brak danych,143 m² - 10097.83 zł/m²,Brak danych,Brak danych
3434,2 pok mieszkanie na Bemowie osiedle Young City,540 000 zł,Warszawa,Brak danych,30 m² - 18000 zł/m²,Brak danych,Brak danych
3435,Kawalerka 30 m² po remoncie | Możliwość 2 pokoi | Wysoki standard,299 000 zł,Brak danych,Brak danych,30 m² - 9966.67 zł/m²,2 pokoje,Brak danych
3436,Duża Kawalerka blisko Uniwersytetu Szczecińskiego,395 000 zł,Szczecin,Brak danych,"43,40 m² - 9101.38 zł/m²",1 pokój,Brak danych
3437,"Niebuszewo, Mieszkanie 51m2 piętro 1",299 000 zł,Szczecin,Brak danych,"51,22 m² - 5837.56 zł/m²",Brak danych,2 piętro
3438,Mieszkanie 3 pokojowe z balkonem i zielenią za oknem,376 000 zł,Brak danych,Brak danych,48 m² - 7833.33 zł/m²,3 pokoje,Brak danych
3439,"2 pokoje, klimatyczne mieszkanie na sprzedaż, winda! [REZERWACJA]",290 000 zł,Łódź,Brak danych,"38,30 m² - 7571.8 zł/m²",2 pokoje,Brak danych
3440,"Kawalerka 28,3m2 z balkonem, do remontu, metro",375 000 zł,Warszawa,Brak danych,"28,30 m² - 13250.88 zł/m²",1 pokój,Brak danych
3441,Kawalerka z kuchnią | Górczyn | 32 m² | Widok z 8. piętra,260 000 zł,Gorzów Wielkopolski - Dzisiaj O 16:05,Brak danych,"32,40 m² - 8024.69 zł/m²",1 pokój,Brak danych
3442,Piękne nowe mieszkanie w idealnej lokalizacji!,645 000 złdo negocjacji,Białystok,Brak danych,52 m² - 12403.85 zł/m²,Brak danych,Brak danych
3443,Okazja. Przestronne 3 pokoje + kuchnio-jadalnia + ... !,760 000 zł,Toruń - 14 Czerwca 2025,Brak danych,72 m² - 10555.56 zł/m²,3 pokoje,Brak danych
3444,"Mieszkanie 2-pokojowe, Zajezdnia Wrzeszcz, 47 m²",880 000 zł,Gdańsk,Brak danych,"47,22 m² - 18636.17 zł/m²",Brak danych,Brak danych
3445,Mieszkanie 3 pokojowe w starej kamienicy w Siemianowicach Śląskich,185 000 zł,Brak danych,Brak danych,87 m² - 2126.44 zł/m²,3 pokoje,Brak danych
3446,Pilnie#2-pokoje# Metro # okazja#,530 000 zł,Warszawa,Brak danych,"37,54 m² - 14118.27 zł/m²",Brak danych,Brak danych
3447,Kawalerka po generalnym remoncie z pięknymi zachodami!,499 000 zł,Warszawa,Brak danych,"30,40 m² - 16414.47 zł/m²",1 pokój,Brak danych
3448,Funkcjonalne 2 pokoje z oddzielną kuchnią blisko centrum,369 000 zł,Białystok,Brak danych,"48,40 m² - 7623.97 zł/m²",2 pokoje,Brak danych
3449,"Nowoczesna kawalerka, Wrocław ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,50 m² - 13547.17 zł/m²",1 pokój,Brak danych
3450,"Nowe Wykończone 2 pokoje 43,4m2 + ogródek 55m2, brak PCC, Właściciel.",859 000 zł,Kraków,Brak danych,"43,40 m² - 19792.63 zł/m²",2 pokoje,Brak danych
3451,"Gotowiec inwestycyjny, urocza kawalerka 26,85 m2, ul. Bierutowska",359 000 zł,Wrocław,Brak danych,"26,85 m² - 13370.58 zł/m²",1 pokój,Brak danych
3452,Sprzedam mieszkanie 3-pokojowe,650 000 zł,Opole - 16 Lipca 2025,Brak danych,"61,68 m² - 10538.26 zł/m²",Brak danych,Brak danych
3453,Mieszkanie do wprowadzenia | Rybnik | Parter,214 000 zł,Rybnik - 15 Lipca 2025,Brak danych,"39,79 m² - 5378.24 zł/m²",Brak danych,Parter
3454,Bezczynszowe mieszkanie-6 km od Koszalina!,259 000 zł,Koszalin,Brak danych,"47,50 m² - 5452.63 zł/m²",Brak danych,Brak danych
3455,"Mieszkanie (54,8 mkw.) Opalenica, os. Centrum",367 160 zł,Brak danych,Brak danych,"54,80 m² - 6700 zł/m²",Brak danych,Brak danych
3456,Gdańsk Mieszkanie 2 pokoje wykończone PRYWATNIE,545 000 zł,Gdańsk - 16 Lipca 2025,Brak danych,39 m² - 13974.36 zł/m²,2 pokoje,Brak danych
3457,3 pokojowe mieszkanie za Sterem ul. Gen. Maczka,649 000 zł,Szczecin,Brak danych,71 m² - 9140.85 zł/m²,3 pokoje,Brak danych
3458,Blisko Centrum idealne na Inwestycję lub jako pierwsze mieszkanie,410 000 złdo negocjacji,Kraków,Brak danych,23 m² - 17826.09 zł/m²,Brak danych,Brak danych
3459,Mieszkanie 2 pokoje. Blisko centrum,265 000 zł,Brak danych,Brak danych,46 m² - 5760.87 zł/m²,2 pokoje,Brak danych
3460,"Kawalerka 38 m² za odstępne – Łódź Górna, okolice Placu Niepodległości",25 000 złdo negocjacji,Łódź,Brak danych,36 m² - 694.44 zł/m²,1 pokój,Brak danych
3461,M3 Mieszkanie 2 pokoje Sierakowskiego po remoncie Łódź,359 000 zł,Łódź,Brak danych,"38,30 m² - 9373.37 zł/m²",2 pokoje,Brak danych
3462,Mieszkanie z potencjałem w dzielnicy muzycznej,347 000 zł,Bydgoszcz - Dzisiaj O 14:10,Brak danych,"47,45 m² - 7312.96 zł/m²",Brak danych,Brak danych
3463,"Osiedle Leśne, 2 pokoje, I piętro",490 000 zł,Bydgoszcz - 16 Lipca 2025,Brak danych,"54,51 m² - 8989.18 zł/m²",2 pokoje,490 piętro
3464,BEZPOŚREDNIO 3-pokojowe mieszkanie z balkonem na os. Braniborskim,499 999 zł,Brak danych,Brak danych,"52,20 m² - 9578.52 zł/m²",Brak danych,Brak danych
3465,Mieszkanie 3-pokojowe gotowe do zamieszkania,399 000 zł,Starogard Gdański - 15 Lipca 2025,Brak danych,"48,90 m² - 8159.51 zł/m²",Brak danych,Brak danych
3466,2 pokoje z oddzielną kuchnią,550 000 zł,Warszawa,Brak danych,38 m² - 14473.68 zł/m²,2 pokoje,Brak danych
3467,2 Pokoje | Po remoncie | Dolina Trzech Stawów,439 000 zł,Katowice - Dzisiaj O 09:45,Brak danych,43 m² - 10209.3 zł/m²,2 pokoje,Brak danych
3468,*Nowe mieszkanie bez-czynszowe 74m2 Budynek 9*,520 000 zł,Brak danych,Brak danych,"74,24 m² - 7004.31 zł/m²",Brak danych,Brak danych
3469,"3 Pokoje, LSM, Po Generalnym Remoncie, ul. Pozytywistów, Widok n Wąwóz",529 000 zł,Lublin - Odświeżono Dzisiaj O 11:18,Brak danych,48 m² - 11020.83 zł/m²,3 pokoje,Brak danych
3470,"Lokal,na Dowolną Działalność i Mieszkać #ZDECYDOWANIE #sprzedam",1 443 990 złdo negocjacji,Szczecin,Brak danych,143 m² - 10097.83 zł/m²,Brak danych,Brak danych
3471,⭐Przytulne mieszkanie 2- pokojowe ⭐ możliwość zakupu GARAŻU ⭐,205 000 zł,Brak danych,Brak danych,"33,90 m² - 6047.2 zł/m²",Brak danych,Brak danych
3472,2 pok mieszkanie na Bemowie osiedle Young City,540 000 zł,Warszawa,Brak danych,30 m² - 18000 zł/m²,Brak danych,Brak danych
3473,Kawalerka 30 m² po remoncie | Możliwość 2 pokoi | Wysoki standard,299 000 zł,Brak danych,Brak danych,30 m² - 9966.67 zł/m²,2 pokoje,Brak danych
3474,Duża Kawalerka blisko Uniwersytetu Szczecińskiego,395 000 zł,Szczecin,Brak danych,"43,40 m² - 9101.38 zł/m²",1 pokój,Brak danych
3475,"Niebuszewo, Mieszkanie 51m2 piętro 1",299 000 zł,Szczecin,Brak danych,"51,22 m² - 5837.56 zł/m²",Brak danych,2 piętro
