id,tytuł,cena,miasto,dzielnica,metry_kwadratowe,liczba_pokoi,piętro
79,Atrakcyjna kawalerka z wyposażeniem na Retkini!,285 000 zł,Łódź,Polesie,31 m²,1 pokoje,3 piętro
80,Bardzo Niski Czynsz Super lokalizacja 10 min do Katowic 2 pokoje Blok,339 000 zł,Brak danych,Brak danych,48 m²,2 pokoje,3 piętro
81,3-Pokoje - rozkładowe - ul. Przy Kaszowniku,415 000 zł,Toruń,Mokre,45.8 m²,3 pokoje,4 piętro
82,"Nowoczesna kawalerka ul. Wolska 165, budynek 2019",419 999 zł,Warszawa,Wola,21.52 m²,1 pokoje,2 piętro
83,Mieszkanie w centrum miasta,340 000 zł,Tychy,Dorota,41.2 m²,2 pokoje,4 piętro
84,"Nowe , gotowe , CENTRUM bez PCC os.SIENKIEWICZA",699 000 zł,Białystok,Sienkiewicza,46.5 m²,3 pokoje,7 piętro
85,Tylko u Nas ! Rozkładowe 3 pokoje z loggią.,465 000 zł,Łódź,Polesie,62 m²,3 pokoje,6 piętro
86,"2 pokoje, jasna kuchnia, balkon, Grzegórzki Nullo!",770 000 zł,Brak danych,Brak danych,49.5 m²,2 pokoje,4 piętro
87,"2 pok., do zamieszkania",556 000 zł,Wrocław,Krzyki,47 m²,3 pokoje,1 piętro
88,3 pokoje po remoncie -Grunwald,599 000 zł,Poznań,Grunwald,48 m²,3 pokoje,6 piętro
89,2 pokoje w prestiżowej kamienicy na Jeżycach,810 000 zł,Poznań,Jeżyce,47 m²,2 pokoje,3 piętro
90,Przestronne 2-pokojowe mieszkanie z balkonem,375 000 zł,Brak danych,Brak danych,51 m²,2 pokoje,4 piętro
91,"Mieszkanie w centrum z balkonem, 3 stronne! Łazienka z oknami",564 995 zł,Białystok,Przydworcowe,60 m²,4 pokoje,parter
92,Dla rodziny-Zielone osiedle-metro,895 000 zł,Warszawa,Bemowo,66.16 m²,3 pokoje,2 piętro
93,✅ 3pokoje | DUŻY BALKONY | Harmonogram 20/80 |Zielono❗️ GOTOWE 2025 ❗️,939 200 zł,Warszawa,Włochy,55.58 m²,3 pokoje,2 piętro
94,"Gdańsk, Osiedle Koncept – 4 pokoje, balkon, garaż,",201 399 000 zł,Gdańsk,Brak danych,90.2 m²,4 pokoje,4 piętro
95,Wykończone M2 w nowym bloku z 2025r!,559 000 zł,Wrocław,Fabryczna,35 m²,2 pokoje,1 piętro
96,"Górzyskowo, 2012r, gotowe do zamieszkania, balkon,",437 000 zł,Bydgoszcz,Górzyskowo,44.85 m²,2 pokoje,parter
97,Mieszkanie Kamieniec ul.klonowa 55.8 2 pokoje,580 000 zł,Wrocław,Brak danych,55.8 m²,2 pokoje,1 piętro
98,Do zamieszkania 59.5m2 - ul. Paderewskiego,480 000 zł,Łódź,Górna,59.5 m²,3 pokoje,parter
99,"Nowe > 27,29 m2 > Białołęka > ul.Mańkowska",376 088 zł,Warszawa,Białołęka,27.29 m²,1 pokoje,parter
100,Mieszkanie 48m2 3p 2 pokoje,439 200 zł,Brak danych,Brak danych,48 m²,2 pokoje,3 piętro
101,2-pokojowe mieszkanie -Antoniuk,365 000 zł,Białystok,Antoniuk,36.29 m²,2 pokoje,7 piętro
102,3pok do remontu piwnica Bemowo inwestycja loggia,750 000 zł,Warszawa,Bemowo,61.7 m²,3 pokoje,2 piętro
103,OKAZJA❗M2 42m2✅BALKON✅BLISKO tramwaj✅TANIE MP❗Politechnika 15 min,463 868 zł,Poznań,Miasto,42.29 m²,2 pokoje,5 piętro
104,Rezydencja Centrum | apartament 1-pok. | 7,273 745 zł,Gliwice,Śródmieście,25.23 m²,1 pokoje,1 piętro
105,Cena do negocjacji! Przestronne 3-pokojowe mieszkanie z balkonem,295 000 zł,Jastrzębie,Turystyczna,57.91 m²,3 pokoje,2 piętro
106,Sobieskiego / 3 pokoje + kuchnia / loggia / piwnica - PEŁNA WŁASNOŚĆ,770 000 zł,Warszawa,Wilanów,56.2 m²,3 pokoje,parter
107,Najlepszy widok-Do wprowadzenia-Metro Stadion 4',970 000 zł,Warszawa,Południe,68.79 m²,3 pokoje,7 piętro
108,"BEZPOŚREDNIO | Słoneczne, przestronne M3 | Cisza na najwyższym piętrze",446 000 zł,Poznań,Swarzędz,63.8 m²,3 pokoje,4 piętro
109,2 pokoje| Idealne dla STUDENTA | Zielny widok z okna,340 000 zł,Poznań,Miasto,28.41 m²,2 pokoje,2 piętro
110,kawalerka na start | ogródek | zielona okolica,409 000 zł,Kraków,Biały,24.49 m²,1 pokoje,1 piętro
111,2-pokojowe mieszkanie 38m2 + ogródek Bezpośrednio,300 zł,Łódź,Górna,57 m²,3 pokoje,Brak danych
112,BEZPOŚREDNIO | 2 Pokoje + Jasna kuchnia | BALKON | 400m od UAM!,147 000 zł,Brak danych,Brak danych,36.94 m²,2 pokoje,2 piętro
113,Widne mieszkanie 3-pokojowe w kameralnym bloku z monitoringiem Bielany,201 040 000 zł,Warszawa,Bielany,57.01 m²,3 pokoje,4 piętro
114,Piękne 3 pokoje z ogródkiem,980 000 zł,Gdańsk,Brak danych,74.7 m²,3 pokoje,parter
115,"Ładna kawalerka, M2 Bytom, Rozbark, I piętro,",155 000 zł,Bytom,Brak danych,36 m²,1 pokoje,Brak danych
116,Nowe 2 pokojowe pod lasem - kupujący 0% prowizji,412 000 zł,Szczecin,Północ,45.26 m²,2 pokoje,1 piętro
117,Przestronne 3-pokojowe mieszkanie,349 000 zł,Brak danych,Brak danych,49.63 m²,3 pokoje,parter
118,Apartamenty z ogródkiem ul. Śląska Nowa Inwestycja,690 000 zł,Brak danych,Brak danych,85 m²,4 pokoje,parter
119,"Pruszków centrum 63 m2, 3 pok, 2015 rok, garaż",696 000 zł,Brak danych,Brak danych,63.28 m²,3 pokoje,2 piętro
120,"Pruszków blisko WKD 30 m2, pierwsze piętro !!!",399 000 zł,Brak danych,Brak danych,30 m²,1 pokoje,1 piętro
121,"Wrocław, Fabryczna, Żerniki, Strachowicka",520 000 zł,Wrocław,Brak danych,43.1 m²,2 pokoje,2 piętro
122,Mieszkanie blisko 40 mkw z przestronną kuchnią,227 000 zł,Brak danych,Brak danych,39.49 m²,1 pokoje,2 piętro
123,Nowe apartamenty w Mikołowie z własnymi ogródkami,599 000 zł,Brak danych,Brak danych,69.15 m²,3 pokoje,parter
124,"Kawalerka po remoncie, 5 minut od plaży | Kaczyńskiego 2, Gdańsk",498 000 zł,Gdańsk,Brak danych,27 m²,1 pokoje,4 piętro
125,Sprzedam mieszkanie w Ostrowie Wielkopolski,289 000 zł,Brak danych,Brak danych,38 m²,2 pokoje,3 piętro
126,Gotowe do wprowadzenia mieszkanie Strażacka,695 000 zł,Rzeszów,Drabinianka,63.05 m²,3 pokoje,3 piętro
127,Sobieskiego / 3 pokoje + kuchnia / loggia / piwnica - PEŁNA WŁASNOŚĆ,770 000 zł,Warszawa,Wilanów,56.2 m²,3 pokoje,parter
128,"Mieszkanie na sprzedaż Mokotów, Siekierki, 28,92 m2",647 000 zł,Warszawa,Mokotów,28.92 m²,1 pokoje,3 piętro
129,"Znakomita lokalizacja, przytulne, gotowe do wprowadzenia, Bokserska",770 000 zł,Warszawa,Ursynów,36.8 m²,2 pokoje,7 piętro
130,"Przestań czekać! Nowoczesne M3, Po remoncie, Niski czynsz – zamieszkaj",375 000 zł,Brak danych,Brak danych,47 m²,3 pokoje,parter
131,Zacisze 2-pokojowe do wprowadzenia.,400 000 zł,Brak danych,Brak danych,52.9 m²,2 pokoje,4 piętro
132,"Przytulne 2 pokoje, balkon, możliwość 3 pokoi",615 000 zł,Wrocław,Krzyki,58.6 m²,2 pokoje,2 piętro
133,Mieszkanie z garażem - jedyna taka oferta w Śremie,450 000 zł,Brak danych,Brak danych,48 m²,3 pokoje,3 piętro
134,Okazja - 2 pokoje z wyposażeniem - Gaj,619 000 zł,Wrocław,Krzyki,54.2 m²,2 pokoje,parter
135,"Bezpośrednio, super lokalizacja, garaż i kom lok. w cenie",212 090 000 zł,Warszawa,Wilanów,124.5 m²,4 pokoje,4 piętro
136,"Mieszkanie, ul. Arbuzowa Wrocław, bez pośredników",585 000 zł,Wrocław,Brak danych,43.56 m²,2 pokoje,1 piętro
137,"Mieszkanie na parterze, Siedlce, Poznańska",449 000 zł,Poznań,Siedlce,50.1 m²,2 pokoje,parter
138,3 pokoje/ balkon/ miejsce postojowe/ 62 m2,829 000 zł,Wrocław,Fabryczna,62.1 m²,3 pokoje,1 piętro
139,Mieszkanie w Rudzie Śląskiej ul. Wolności,199 000 zł,Ruda,Wolności,59.8 m²,2 pokoje,2 piętro
140,"Mieszkanie 35,20 mkw, spokojna okolica, centrum",399 000 zł,Wrocław,Fabryczna,35.2 m²,2 pokoje,3 piętro
141,Lokum Porto,12 788 zł,Wrocław,Miasto,151 m²,5 pokoje,Brak danych
142,Osiedle Józefowska,10 400 zł,Katowice,Józefowiec,116 m²,5 pokoje,Brak danych
143,Teatralna 3,900 zł,Sosnowiec,Śródmieście,80 m²,4 pokoje,Brak danych
144,✅DOŚWIETLONY UKŁAD✅ 8 piętro | Duży SALON❗️PROMOCJA❗️Tanie M.Postojowe,469 469 zł,Poznań,Miasto,42.51 m²,2 pokoje,8 piętro
145,❗️OKAZJA❗️Ostatnie takie M4 w NOWEJ INWESTYCJI✅Piętro 4/8✅Smart Home✅,581 145 zł,Poznań,Miasto,57 m²,4 pokoje,4 piętro
146,Zacisze 2-pokojowe do wprowadzenia.,400 000 zł,Brak danych,Brak danych,52.9 m²,2 pokoje,4 piętro
147,3-pokojowe mieszkanie 58m2 + balkon Bez Prowizji,519 000 zł,Brak danych,Brak danych,58.82 m²,3 pokoje,1 piętro
148,⭐️Piękna Kawalerka na Bemowie ⭐️Duży Taras⭐️Garaż⭐,559 000 zł,Warszawa,Bemowo,31 m²,1 pokoje,1 piętro
149,"Mieszkanie Kraków , Grzegórzki al.Pokoju ,63,3m",839 999 zł,Kraków,Brak danych,63.3 m²,3 pokoje,5 piętro
150,❗️PROMOCJA❗️PONIŻEJ 10k/m2✅Dwustr. M4✅Łaź+WC✅Aneks z oknem✅INNE PIETRA,692 419 zł,Poznań,Miasto,70.6 m²,4 pokoje,1 piętro
151,PROMOCJA❗️Dwustronne M3 z Garderobą❗️Tanie M.Post w HALI❗️OKAZJA,580 093 zł,Poznań,Miasto,56.6 m²,3 pokoje,4 piętro
152,✅Świetne pod WYNAJEM→Tramwaj 3 min→Politechnika 12 min→SKLEPY,437 666 zł,Poznań,Miasto,38.9 m²,2 pokoje,parter
153,Dwupoziomowe mieszkanie z widokiem 81 m2 | Blisko centrum |,810 000 zł,Brak danych,Brak danych,81.1 m²,5 pokoje,1 piętro
154,❗️OSTATNI TAKI UKŁAD❗️Dwie str. świata | 2 BALKONY✅TANIE M.Post w HALI,581 145 zł,Poznań,Miasto,57.08 m²,4 pokoje,4 piętro
155,❗️PROMOCJA❗️Dwustronne M4 z POTENCJAŁEM✅Tanie M.Post✅INNE PIĘTRA✅0%PCC,634 431 zł,Poznań,Miasto,63 m²,4 pokoje,1 piętro
156,❗️PROMOCJA❗️M3 z GARDEROBĄ❗️Dwustronne❗️2x Balkon✅Świetny układ✅ZOBACZ,580 093 zł,Poznań,Miasto,56.6 m²,3 pokoje,4 piętro
157,❗️OKAZJA❗️Przytulne M2 z TARASEM i OGRÓDKIEM❗️Rabat na M.Post❗️ZADZWOŃ,444 990 zł,Poznań,Miasto,38.59 m²,2 pokoje,parter
158,Komfortowe mieszkanie na zadbanym osiedlu w Radzyminie pod Warszawą,479 000 zł,Brak danych,Brak danych,52.66 m²,3 pokoje,3 piętro
159,Sprzedam prywatnie mieszkanie ul. Fredry,235 000 zł,Elbląg,Fredry,40.8 m²,3 pokoje,parter
160,Gotowe Apartamenty - widok na morze-taras na dachu,549 000 zł,Brak danych,Brak danych,57.14 m²,3 pokoje,1 piętro
