title,price,location,area,rooms
"Sprzedam apartamenty nad morzem, Jastrzębia Góra.",407 550 zł,Jastrzębia Góra - Odświeżono Dzisiaj o 16:32,"3231,35 m²",Brak danych
3-pokojowe mieszkanie 58 m² – bez pośredników,515 000 złdo negocjacji,Toruń - Odświeżono dnia 14 lipca 2025,58 m²,Brak danych
"Mieszkanie, Szczecin",789 000 zł,"Szczecin, Bukowe - Odświeżono Dzisiaj o 14:34",3485 m²,Brak danych
48M2 - Pierwsze Piętro !,265 000 zł,Grudziądz - Dzisiaj o 09:38,3848 m²,Brak danych
*ŚCISŁE CENTRUM*2pok.*Inwestycyjne*Blisko Uczelni*Lipowa*Waryńskiego*,445 000 złdo negocjacji,"Białystok, Centrum - Odświeżono Dzisiaj o 03:10",1040 m²,2 pokoje
Mieszkanie 52m2 z podziemnym garażem  na sprzedaż,470 000 zł,Kętrzyn - Odświeżono Dzisiaj o 20:07,0752 m²,Brak danych
Kawalerka na sprzedaż,259 000 zł,Krapkowice - Odświeżono Dzisiaj o 11:49,4938 m²,Brak danych
Centrum- Stare Miasto 2 pokoje,359 000 zł,Olsztyn - Odświeżono dnia 14 lipca 2025,"202531,20 m²",2 pokoje
Mieszkanie 38m² ⭐2 pokoje⭐Balkon⭐Piwnicav,469 000 zł,"Warszawa, Targówek - Odświeżono dnia 13 lipca 2025",38m²,2 pokoje
Zobacz na żywo dzisiaj! Parking! Ostatnia szansa!,440 000 zł,"Gdańsk, Orunia - Św. Wojciech - Lipce - Odświeżono dnia 13 lipca 2025","202543,66 m²",Brak danych
"Chojny Dąbrowa Kurak Po remoncie, loggia, wystawa na 2 strony",365 000 zł,"Łódź, Górna - Odświeżono dnia 09 lipca 2025",202537 m²,Brak danych
Mieszkanie 4-pokojowe 71 m2 z garażem,659 000 zł,Olsztyn - Dzisiaj o 14:48,4871 m²,Brak danych
"Sprzedam mieszkanie 35,2m2 w zielonej okolicy, Warszawa - Ursus",530 000 zł,"Warszawa, Ursus - Odświeżono Dzisiaj o 09:06","0635,20 m²",Brak danych
Trynek | Mieszkanie 3-pokojowe | Po generalnym remoncie | PRYWATNIE,438 000 złdo negocjacji,"Gliwice, Trynek - Odświeżono Dzisiaj o 01:48","4849,51 m²",Brak danych
"TANIO mieszkanie 4 pokoje, 72,8 metra, wieżowiec, winda. Gniezno os. Ł",429 999 złdo negocjacji,Gniezno - Odświeżono Dzisiaj o 13:40,"4072,50 m²",4 pokoje
"Wyjątkowo Przytulne, Jasne i Kameralne Mieszkanie",419 000 zł,Rumia - Odświeżono Dzisiaj o 16:05,"0541,10 m²",Brak danych
"Mieszkanie 3 pokojowe, wysoki standard",1 200 000 zł,"Wrocław, Krzyki - Odświeżono Dzisiaj o 20:26","2662,90 m²",3 pokoje
Sprzedam Mieszkanie,650 000 złdo negocjacji,"Warszawa, Białołęka - Odświeżono dnia 14 lipca 2025",202541 m²,Brak danych
"Sprzedam mieszkanie 60 m² – os. Piaski, ul. Waszyngtona - BEZPOŚREDNIO",479 000 zł,"Białystok, Centrum - Odświeżono Dzisiaj o 16:05",60 m²,Brak danych
"Mieszkanie w klimatycznej kamienicy, 2 pok. 36m2  - Śródmieście",349 000 złdo negocjacji,Gorzów Wielkopolski - Odświeżono dnia 14 lipca 2025,"202535,75 m²",2 pokoje
Apartament z tarasem bez posrednikow,479 000 zł,"Katowice, Brynów-cz. Wsch.-Osiedle Zgrzebioka - Odświeżono Dzisiaj o 14:02",0248 m²,Brak danych
Sprzedam mieszkanie o powierzchni 44m,130 000 zł,Chorzele - 04 lipca 2025,202544 m²,Brak danych
"2 pokoje, garderoba, balkon, KLIMA, po GENERALNYM Remoncie",599 000 złdo negocjacji,"Wrocław, Fabryczna - Odświeżono dnia 13 lipca 2025",202539 m²,2 pokoje
"Mieszkanie Sobola Biel 65m2, dwa balkony, garaż w cenie",649 000 złdo negocjacji,Suwałki - 11 lipca 2025,202565 m²,Brak danych
WYJĄTKOWE Marina Mokotów 3 pokoje i gabinet + ogród,1 989 000 zł,"Warszawa, Mokotów - Odświeżono Dzisiaj o 14:30","3077,23 m²",3 pokoje
Mieszkanie po remoncie - parter,499 000 zł,Chrzanów - Odświeżono Dzisiaj o 20:36,3661 m²,Brak danych
Komfortowe 35m w centrum Pruszkowa.,495 000 zł,Pruszków - Odświeżono Dzisiaj o 12:00,0035 m²,Brak danych
"Apartament z ogrodem, Garaż na 2 auta, komórka lokatorska,Bezpośrednio",568 000 złdo negocjacji,Bielsko-Biała - Odświeżono Dzisiaj o 15:48,4850 m²,Brak danych
Studio mieszkanie/Mokotów,2 750 zł,"Warszawa, Mokotów - Odświeżono Dzisiaj o 10:49",4923 m²,Brak danych
Przytulne mieszkanie z balkonem w centrum Ostródy po remoncie,310 000 zł,Ostróda - Odświeżono Dzisiaj o 13:38,"3829,05 m²",Brak danych
Mieszkania na piętrze 74m2 + balkon,444 000 zł,Chojnice - Dzisiaj o 08:15,1574 m²,Brak danych
"BEZPOŚREDNIO,  mieszkanie w cichej okolicy, teren zamknięty, parking",399 000 zł,"Łódź, Górna - Odświeżono dnia 14 lipca 2025",202544 m²,Brak danych
Mieszkanie w Wolsztynie/Komorowo wolne od zaraz,295 000 złdo negocjacji,Wolsztyn - Odświeżono Dzisiaj o 15:55,"5541,75 m²",Brak danych
Mieszkanie 36m²⭐PO REMONCIE⭐2 pokoje⭐Piwnica⭐Metro,748 000 zł,"Warszawa, Mokotów - Odświeżono Dzisiaj o 14:24",36m²,2 pokoje
"Mieszkanie 2-pokojowe, SIENNA",496 800 zł,Pabianice - Odświeżono dnia 13 lipca 2025,202546 m²,Brak danych
"Mieszkanie w Żywcu 58,7 m² | Stan deweloperski",634 000 zł,Żywiec - Odświeżono Dzisiaj o 14:29,"58,7 m²",Brak danych
Piękne 2 pokoje z loggią - Gdańsk  Śródmieście,699 000 zł,"Gdańsk, Śródmieście - Odświeżono dnia 14 lipca 2025","202540,50 m²",2 pokoje
"Piękne, klimatyczne mieszkanie 52 m2 na kołobrzeskiej starówce.",695 000 złdo negocjacji,Kołobrzeg - Dzisiaj o 11:45,4552 m²,Brak danych
Mieszkanie Pass/Błonie,430 000 złdo negocjacji,Pass - Odświeżono dnia 14 lipca 2025,"202548,60 m²",Brak danych
Konstantynów mieszkanie bezczynszowe idealne na wynajem 72.4 m2,499 000 złdo negocjacji,Lublin - Odświeżono Dzisiaj o 17:24,"2472,40 m²",Brak danych
Dwupokojowe ustawne mieszkanie | świetna lokalizacja |  1. piętro,205 000 złdo negocjacji,Ruda Śląska - Odświeżono Dzisiaj o 01:39,"3937,80 m²",Brak danych
3 pokojowe z ogrodem i dużą piwnicą. Umeblowane - do zamieszkania.,580 000 zł,Poznań - Odświeżono Dzisiaj o 15:26,26102 m²,3 pokoje
"Karolew, 36 m² z balkonem – idealne do własnej aranżacji",262 000 złdo negocjacji,"Łódź, Polesie - Odświeżono Dzisiaj o 13:34",36 m²,Brak danych
Do remontu | Duży balkon | Skomunikowane,615 000 zł,"Warszawa, Ochota - Odświeżono Dzisiaj o 20:18","1843,24 m²",Brak danych
Mieszkanie blisko centrum cisza spokój przyjazne sąsiedztwo Daleka 9,449 000 zł,"Białystok, Piasta I - Odświeżono Dzisiaj o 11:35",3561 m²,Brak danych
Bezczynszowe 3 Pokojowe mieszkanie 57m2 Chorzów,224 000 zł,Chorzów - Dzisiaj o 13:17,"1753,80 m²",3 pokoje
Mieszkanie z garażem na Gocławiu. Bez pośredników.,892 000 zł,"Warszawa, Praga-Południe - Odświeżono Dzisiaj o 14:36",3651 m²,Brak danych
Mieszkanie 43m²⭐2 pokoje⭐Piwnica⭐Dobra lokalizacja,615 000 zł,"Warszawa, Żoliborz - Odświeżono dnia 13 lipca 2025",43m²,2 pokoje
"Kameralny Apartament,Zakopane Jaszczurówka ,Taras,Sauna Właściciel.",749 000 złdo negocjacji,Zakopane - Odświeżono dnia 12 lipca 2025,202530 m²,Brak danych
‼️Gotowe 2 pokoje‼️ Hala Garażowa ‼️ 7 min od Metra Wierzbno‼️,785 000 zł,"Warszawa, Mokotów - Dzisiaj o 16:47","4739,30 m²",2 pokoje
‼️15min Skm do Centrum - 3 pok + Hala Garażowa‼️,785 875 zł,Warszawa - Odświeżono Dzisiaj o 11:51,5160 m²,3 pokoje
"Mieszkanie 2P 42,56m² - Ogródek - Garaż - Parkitka - Bezpośrednio",380 000 zł,"Częstochowa, Parkitka - Odświeżono Dzisiaj o 19:37","42,56m²",Brak danych
"Klimontów, zielone serce miasta. 2-pokojowe mieszkanie z balkonem.",299 000 zł,Sosnowiec - Odświeżono Dzisiaj o 16:38,"3851,25 m²",Brak danych
Mieszkanie na parterze 64m2 + ogródek,416 000 zł,Chojnice - Dzisiaj o 08:17,1764 m²,Brak danych
Sprzedam kawalerkę Stegny,540 000 złdo negocjacji,"Warszawa, Mokotów - Odświeżono dnia 14 lipca 2025",202531 m²,Brak danych
Mieszkanie w zielonej i cichej okolicy,499 000 zł,"Szczecin, Golęcino - Odświeżono Dzisiaj o 12:14",1453 m²,Brak danych
"3-pokojowe mieszkanie 64,7 m² z 2 balkonami - Czuby ul. Jemiołuszki",695 000 złdo negocjacji,Lublin - Odświeżono Dzisiaj o 14:14,"64,7 m²",Brak danych
M4 Mieszkanie 3 pokoje parter z ogródkiem Radogoszcz Wschód,480 000 zł,"Łódź, Bałuty - Odświeżono Dzisiaj o 17:56",5650 m²,3 pokoje
Mieszkanie Łukasiewicza,330 000 złdo negocjacji,Płock - Dzisiaj o 13:29,"2953,30 m²",Brak danych
Mieszkanie 2 pokojowe / 44m / LOGGIA,419 000 zł,Bydgoszcz - Odświeżono Dzisiaj o 13:23,2344 m²,2 pokoje
Nowoczesna kawalerka z tarasem | Spokojna i zielona okolica | Bieżanów,330 000 zł,"Kraków, Bieżanów-Prokocim - 21 czerwca 2025","202525,40 m²",Brak danych
"Mieszkanie M3 po remoncie 45,5 m2 Bartodzieje Bydgoszcz",395 000 zł,Bydgoszcz - Odświeżono dnia 14 lipca 2025,"202545,50 m²",Brak danych
Mieszkanie po remoncie 2 pokoje,389 000 zł,Lublin - Odświeżono Dzisiaj o 14:07,"0731,47 m²",2 pokoje
* Bliźniak z ogródkiem * strych * świetna lokalizacja * tramwaj *,730 000 zł,Łódź - Odświeżono Dzisiaj o 12:26,"2685,16 m²",Brak danych
"Łódź-Górna, 2 pokoje z balkonem, do remontu z opcją 3‑pokojowego, 34m2",244 000 zł,"Łódź, Górna - Odświeżono Dzisiaj o 15:28","2834,40 m²",2 pokoje
Stary Rynek 133m2 z możliwością podziału na 2 mieszkania. Parking,1 330 000 zł,Bydgoszcz - Odświeżono dnia 14 lipca 2025,"2025133,50 m²",Brak danych
"Małe, ale z charakterem. 2 pokoje z widokiem",299 000 zł,Rzeszów - Dzisiaj o 14:55,"5526,50 m²",2 pokoje
"OSTATNIE  mieszkanie   68 m2  ,  bezczynszowe ,  z  ogródkiem",399 000 zł,Wieliczka - Odświeżono Dzisiaj o 12:20,2068 m²,Brak danych
"Mieszkanie, 46,62 m2, Koszarowa",536 130 zł,Siedlce - Odświeżono Dzisiaj o 12:17,"1746,62 m²",Brak danych
Mieszkanie 53m²⭐2/3 pokoje⭐Balkon⭐Piwnica⭐Metro⭐KW,748 000 zł,"Warszawa, Ursynów - Odświeżono Dzisiaj o 13:57",53m²,3 pokoje
Atrakcyjne mieszkanie 3 pokojowe plus antresola,668 000 zł,"Poznań, Wilda - Odświeżono Dzisiaj o 17:06","0670,11 m²",3 pokoje
Sprzedam Mieszkanie Bydgoszcz Okole OKAZJA,279 000 złdo negocjacji,Bydgoszcz - Odświeżono Dzisiaj o 19:56,5639 m²,Brak danych
"Got. do zamieszkania, jasne, dobra lokalizacja, garaż podziemny, winda",630 000 złdo negocjacji,Jarosław - Odświeżono Dzisiaj o 16:55,"5569,78 m²",Brak danych
"Mieszkanie 18,5 m2 w Centrum Żyrardowa",155 000 zł,Żyrardów - Odświeżono dnia 13 lipca 2025,"202518,50 m²",Brak danych
"Mieszkanie, Szczecin",789 000 zł,"Szczecin, Bukowe - Odświeżono Dzisiaj o 14:34",3485 m²,Brak danych
"Na sprzedaż słoneczne 2-pok mieszkanie, 51 m2 po remoncie, os. Piaski",649 000 złdo negocjacji,"Białystok, Piaski - Odświeżono dnia 12 lipca 2025",202551 m²,Brak danych
"Sprzedam mieszkanie, Wyszyńskiego 13, nowy blok, winda, 52m, Budomex",499 000 złdo negocjacji,Międzyrzec Podlaski - Odświeżono Dzisiaj o 15:43,4352 m²,Brak danych
lokalizacja w Centrum,362 000 zł,Września - Dzisiaj o 14:49,4973 m²,Brak danych
Widne mieszkanie 3-pokojowe w kameralnym bloku z monitoringiem Bielany,1 040 000 zł,"Warszawa, Bielany - Odświeżono Dzisiaj o 20:22","2257,01 m²",Brak danych
Mieszkanie Nowy Sącz ZAMENHOFFA 50.95m /Zamiana na dzialke,365 000 złdo negocjacji,Nowy Sącz - Odświeżono dnia 14 lipca 2025,"202550,95 m²",Brak danych
"Sprzedam mieszkanie Braniewo, Armii Krajowej, 52m2 (2 pokoje)",365 000 złdo negocjacji,Braniewo - Odświeżono Dzisiaj o 15:28,2852 m²,2 pokoje
Mieszkanie w Centrum 4- pokojowe ul. Hetmańska 24,695 000 złdo negocjacji,Rzeszów - Odświeżono dnia 14 lipca 2025,"202564,40 m²",Brak danych
3 pokojowe mieszkanie po kapitalnym remoncie Konstantynów Kopernika 19,540 000 zł,Konstantynów Łódzki - Odświeżono Dzisiaj o 17:34,3461 m²,3 pokoje
Mieszkanie Dwupokojowe Osiedle Sudeckie,229 900 złdo negocjacji,Świebodzice - Odświeżono Dzisiaj o 17:24,"2446,47 m²",Brak danych
"KRZYKI, Borek, 3 pokoje, pełen rozkład, BALKON",749 000 złdo negocjacji,"Wrocław, Krzyki - Odświeżono Dzisiaj o 19:51",5163 m²,3 pokoje
Mieszkanie w centrum miasta,410 000 zł,Sochaczew - Odświeżono Dzisiaj o 14:56,"5649,50 m²",Brak danych
Zielona enklawa w sercu stolicy,1 750 000 zł,"Warszawa, Wola - 30 czerwca 2025","202562,40 m²",Brak danych
"Mieszkanie 58 m2, 1 piętro, Płońsk, Ks. Romualda Jaworskiego",380 000 zł,Płońsk - Dzisiaj o 10:09,"0958,15 m²",Brak danych
"Wyjątkowe, 3-pokojowe, po remoncie - z widokiem na Tatry i Tyniec",769 000 zł,"Kraków, Zwierzyniec - Odświeżono dnia 12 lipca 2025",202552 m²,Brak danych
Mieszkanie 56m2 - gotowe do sprzedaży,454 000 zł,"Łódź, Widzew - Odświeżono Dzisiaj o 14:04","0456,84 m²",Brak danych
Sprzedam komfortowe mieszkanie w świetnej lokalizacji-bezpośrednio,682 000 zł,Chorzów - Odświeżono Dzisiaj o 11:02,0284 m²,Brak danych
"MIESZKANIE 39 m Oświęcim, Zasole",295 000 złdo negocjacji,Oświęcim - Odświeżono dnia 14 lipca 2025,202540 m²,Brak danych
"Mieszkanie 4 pokoje 72,50 m2 Nagórki",629 000 złdo negocjacji,Olsztyn - Odświeżono Dzisiaj o 10:20,"2072,50 m²",4 pokoje
Super zlokalizowane mieszkanie na znanym osiedlu Shiraz Park,612 000 zł,"Gdynia, Pogórze - Dzisiaj o 09:09",0950 m²,Brak danych
Bezczynszowe mieszkanie z parkingiem i ogrodem - ukończona budowa,495 000 złdo negocjacji,Bełchatów - Dzisiaj o 12:31,3182 m²,Brak danych
Mieszkanie 51m2 na sprzedaż ul. BOCIANA,710 000 zł,"Kraków, Prądnik Czerwony - Odświeżono Dzisiaj o 01:51",5151 m²,Brak danych
Idealne mieszkanie blisko centrum,569 000 złdo negocjacji,Zawada - Odświeżono Dzisiaj o 16:07,0757 m²,Brak danych
Dom/Mieszkanie z ogródkiem  Prudnik Młyńska,185 000 złdo negocjacji,Prudnik - Odświeżono Dzisiaj o 18:21,21278 m²,Brak danych
"Mieszkanie dwupokojowe, Żyrardów",359 000 zł,Żyrardów - Dzisiaj o 13:23,"2336,20 m²",Brak danych
"BEZ POŚREDNIKÓW Zazamcze-Rajska, M-4 58m2, 3/4 p, czynsz tylko 448 zł.",365 000 złdo negocjacji,Włocławek - 09 lipca 2025,202558 m²,Brak danych
Mieszkanie Gotowe do Wprowadzenia z Garażem,449 000 zł,Rzeszów - Odświeżono Dzisiaj o 16:09,"0931,27 m²",Brak danych
Mieszkanie sprzedam,349 000 złdo negocjacji,Bytom - Odświeżono dnia 14 lipca 2025,"202551,20 m²",Brak danych
